ability	evne 
eight	tám 
either	hoặc 
elbow	khuỷu tay 
element	yếu tố 
else	khác 
emotion	cảm xúc 
empty	trống 
end	kết thúc 
enemy	kẻ thù 
energy	năng lượng 
engine	động cơ 
England	nước Anh 
English	Anh 
enormous	enorme 
enough	đủ 
entirely	hoàn toàn 
entire	toàn bộ 
entrance	lối vào 
equal	bằng 
equally	lika 
especially	đặc biệt 
estate	tài sản 
Europe	Âu châu 
even	cũng 
evening	tối 
event	biến cố 
eventually	sau cùng 
ever	không bao giờ 
everybody	mọi người 
every	mỗi 
everyone	tất cả mọi người 
everything	mọi điều 
everywhere	khắp nơi 
evidence	bằng chứng 
evil	ác 
exactly	chính xác 
example	thí dụ 
excellent	xuất sắc 
except	ngoại trừ 
excitement	phấn khích 
excuse	xin lỗi 
exercise	tập thể dục 
existence	sự tồn tại 
experience	kinh nghiệm 
explanation	giải thích 
expression	biểu hiện 
extra	thêm 
extremely	vô cùng 
eyebrow	lông mày 
eye	mắt 
face	đối mặt 
fact	thực tế 
faint	ngất xỉu 
fair	hội chợ 
fairly	khá 
faith	đức tin 
familiar	quen thuộc 
family	gia đình 
famous	nổi tiếng 
fancy	ưa thích 
farm	trang trại 
far	xa 
fashion	thời trang 
fast	Nhanh 
fat	béo 
fate	số phận 
father	cha 
fault	lỗi 
favorite	yêu thích 
favor	ủng hộ 
fear	nỗi sợ 
feature	tính năng 
feeling	cảm giác 
fellow	đồng bào 
female	nữ 
fence	hàng rào 
few	vài 
fiction	viễn tưởng 
field	cánh đồng 
fifteen	mười lăm 
fifty	năm mươi 
figure	nhân vật 
file	tập tin 
film	phim ảnh 
final	chung kết 
finally	cuối cùng 
fine	khỏe 
finger	ngón tay 
fire	ngọn lửa 
firm	công ty 
firmly	kiên quyết 
first	Đầu tiên 
fish	cá 
fist	nắm tay 
five	số năm 
flame	ngọn lửa 
flat	căn hộ 
flesh	thịt 
flight	chuyến bay 
flood	lũ 
floor	sàn nhà 
flower	hoa 
folk	dân gian 
following	tiếp theo 
food	món ăn 
fool	ngu xuẩn 
foot	chân 
force	lực lượng 
for	cho 
forehead	trán 
foreign	ngoại quốc 
forest	rừng 
forever	mãi mãi 
former	trước đây 
form	hình thức 
forth	ra 
fortune	tài lộc 
forty	bốn mươi 
forward	phía trước 
four	bốn 
frame	khung 
France	Pháp 
freedom	sự tự do 
free	miễn phí 
French	người Pháp 
fresh	tươi 
friend	bạn 
friendly	thân thiện 
friendship	tình bạn 
from	từ 
front	trước mặt 
fruit	quả 
full	đầy 
fully	đầy đủ 
funeral	đám ma 
funny	buồn cười 
fun	vui vẻ 
future	Tương lai 
game	trò chơi 
garden	vườn 
gate	cánh cổng 
gay	đồng tính 
gaze	ánh mắt 
general	chung 
generally	generelt 
generation	thế hệ 
gentleman	quý ông 
gentle	nhẹ nhàng 
gently	nhẹ nhàng 
German	tiếng Đức 
gesture	cử chỉ 
ghost	ma 
giant	người khổng lồ 
gift	quà tặng 
girl	con gái 
glad	vui vẻ 
glasses	kính 
glass	ly 
glow	phát sáng 
god	chúa ơi 
God	Thượng Đế 
golden	vàng 
gold	vàng 
good	tốt 
government	chính quyền 
gown	áo choàng 
grace	vẻ duyên dáng 
grandfather	ông nội 
grand	lớn 
grandmother	bà ngoại 
grass	cỏ 
grateful	biết ơn 
grave	mộ 
gray	màu xám 
great	tuyệt quá 
Greek	Hy Lạp 
green	màu xanh lá 
grey	màu xám 
grief	sự đau khổ 
grip	nắm 
ground	đất 
group	nhóm 
guard	bảo vệ 
guest	khách 
guilty	có tội 
gun	súng 
guy	chàng 
habit	thói quen 
hair	tóc 
half	một nửa 
hall	đại sảnh 
handsome	đẹp trai 
hand	tay 
happiness	hạnh phúc 
happy	vui mừng 
hard	cứng 
hardly	khó khăn 
harm	phẩn nộ 
hat	mũ 
head	cái đầu 
health	sức khỏe 
he	anh ấy 
heart	tim 
heat	nhiệt 
heaven	thiên đường 
heavily	nặng nề 
heavy	nặng 
heel	gót chân 
height	chiều cao 
hell	Địa ngục 
her	cô ấy 
here	đây 
hero	anh hùng 
hers	của cô ấy 
herself	chính mình 
high	cao 
highly	đánh giá cao 
hill	đồi núi 
him	anh ta 
himself	bản thân anh ấy 
hint	dấu 
hip	hông 
his	của anh ấy 
history	lịch sử 
hole	lỗ 
home	nhà 
honest	trung thực 
honor	danh dự 
honour	danh dự 
horror	kinh dị 
horse	con ngựa 
hospital	bệnh viện 
hotel	khách sạn 
hot	nóng bức 
hour	giờ 
house	nhà ở 
however	Tuy nhiên 
how	làm sao 
huge	khổng lồ 
human	Nhân loại 
hundred	trăm 
hungry	đói 
husband	người chồng 
ice	băng 
idea	ý kiến 
if	nếu 
ill	bệnh 
image	hình ảnh 
imagination	sự tưởng tượng 
immediately	ngay 
importance	viktigheten 
important	quan trọng 
impossible	Không thể nào 
impression	ấn tượng 
indeed	thật 
Indian	người Ấn Độ 
individual	cá nhân 
influence	ảnh hưởng 
innocent	ngây thơ 
inside	phía trong 
instance	ví dụ 
instantly	lập tức 
instant	ngay lập tức 
instead	thay thế 
intelligence	sự thông minh 
intention	mục đích 
interested	marry 
interesting	thú vị 
interest	quan tâm 
interview	phỏng vấn 
into	vào 
in	trong 
iron	sắt 
island	đảo 
issue	vấn đề 
Italian	Ý 
it	nó 
I	tôi 
itself	chinh no 
its	nó là 
jacket	áo khoác 
jaw	hàm 
Jew	người Do Thái 
job	việc làm 
joke	đùa 
journey	hành trình 
joy	niềm vui 
judge	thẩm phán 
judgment	Judgment 
July	tháng bảy 
June	tháng sáu 
just	chỉ 
justice	sự công bằng 
key	Chìa khóa 
kid	đứa trẻ 
kind	loại 
king	nhà vua 
kitchen	phòng bếp 
knee	đầu gối 
knife	dao 
knight	hiệp sĩ 
knowledge	kiến thức 
lack	thiếu 
lad	rời khỏi 
lady	quý bà 
lake	hồ 
lamp	đèn 
land	đất 
language	ngôn ngữ 
lap	vạt áo 
large	lớn 
last	Cuối cùng 
late	muộn 
latter	cái sau 
laughter	tiếng cười 
law	luật 
lawyer	luật sư 
leader	lãnh đạo 
least	ít nhất 
leather	da 
left	trái 
legal	hợp pháp 
leg	Chân 
length	chiều dài 
less	ít hơn 
lesson	bài học 
letter	lá thư 
level	cấp độ 
library	thư viện 
life	đời sống 
light	ánh sáng 
lightly	nhẹ nhàng 
likely	có khả năng 
like	như 
limit	giới hạn 
line	hàng 
link	liên kết 
lip	môi 
list	danh sách 
literary	văn học 
little	ít 
living	sống 
local	địa phương 
lonely	lẻ loi 
long	Dài 
loose	lỏng lẻo 
lord	Chúa 
Lord	Chúa tể 
loss	mất mát 
lot	nhiều 
loud	to tiếng 
lovely	đáng yêu 
lover	người yêu 
low	thấp 
luck	may mắn 
lucky	may mắn 
lunch	bữa trưa 
machine	máy 
mad	điên 
magazine	tạp chí 
magic	ma thuật 
maid	thiếu nữ 
mail	email 
main	chủ yếu 
major	chuyên ngành 
male	nam 
man	Đàn ông 
manner	cách thức 
many	nhiều 
map	bản đồ 
March	hành khúc 
market	thị trường 
marriage	kết hôn 
mass	khối lượng 
master	bậc thầy 
match	trận đấu 
material	vật liệu 
matter	vấn đề 
maybe	có lẽ 
meal	bữa ăn 
meaning	ý nghĩa 
measure	biện pháp 
meat	thịt 
medical	y khoa 
meeting	gặp gỡ 
member	hội viên 
memory	ký ức 
mental	trí óc 
mere	chỉ 
merely	chỉ đơn thuần là 
message	thông điệp 
mess	sự lộn xộn 
metal	kim loại 
method	phương pháp 
me	tôi 
middle	ở giữa 
mile	dặm 
military	quân đội 
milk	sữa 
million	triệu 
mind	lí trí 
mine	của tôi 
minister	bộ trưởng 
minute	phút 
mirror	gương 
Miss	Bỏ lỡ 
mission	nhiệm vụ 
mistake	sai lầm 
mistress	tình nhân 
model	kiểu mẫu 
modern	hiện đại 
moment	chốc lát 
money	tiền bạc 
month	tháng 
mood	tâm trạng 
moon	mặt trăng 
moral	đạo đức 
more	hơn 
morning	buổi sáng 
mostly	chủ yếu 
most	phần lớn 
mother	mẹ 
motion	chuyển động 
mountain	núi 
mouth	miệng 
movement	phong trào 
movie	phim 
Mr	Ông 
Mrs	Bà 
much	nhiều 
murder	giết người 
muscle	bắp thịt 
music	Âm nhạc 
my	của tôi 
myself	riêng tôi 
mystery	điều bí ẩn 
nail	móng tay 
naked	trần truồng 
name	Tên 
narrow	hẹp 
nation	quốc gia 
native	tự nhiên 
naturally	một cách tự nhiên 
natural	tự nhiên 
nature	Thiên nhiên 
nearly	Gần 
near	ở gần 
necessary	cần thiết 
neck	cái cổ 
neighbor	hàng xóm 
neither	cũng không 
nerve	thần kinh 
nervous	hồi hộp 
never	không bao giờ 
new	Mới 
newspaper	báo 
news	Tin tức 
next	kế tiếp 
nice	tốt đẹp 
night	đêm 
nine	chín 
noble	cao quý 
nobody	không ai 
noise	tiếng ồn 
no	Không 
none	không ai 
nor	cũng không 
normal	bình thường 
north	phía bắc 
nose	mũi 
note	chú thích 
nothing	không có gì 
notion	khái niệm 
not	không phải 
novel	tiểu thuyết 
now	hiện nay 
number	con số 
nurse	y tá 
object	vật 
obvious	hiển nhiên 
obviously	rõ ràng 
occasion	dịp 
ocean	đại dương 
o’clock	giờ 
odd	lẻ 
of	của 
officer	nhân viên văn phòng 
office	văn phòng 
official	chính thức 
off	tắt 
often	thường xuyên 
oil	dầu 
okay	được rồi 
old	cũ 
once	Một lần 
one	một 
only	chỉ có 
onto	trên 
on	trên 
opening	mở ra 
operation	phẫu thuật 
opinion	ý kiến 
opportunity	cơ hội 
opposite	ngược lại 
order	gọi món 
ordinary	bình thường 
or	hoặc là 
original	bản gốc 
other	khác 
others	khác 
otherwise	mặt khác 
our	của chúng tôi 
ourselves	chính chúng ta 
out	ngoài 
outside	ở ngoài 
over	kết thúc 
owner	chủ nhân 
own	sở hữu 
pace	tốc độ 
page	trang 
pain	đau đớn 
painting	bức tranh 
pair	đôi 
palace	cung điện 
pale	nhợt nhạt 
palm	lòng bàn tay 
paper	giấy 
parent	cha mẹ 
park	công viên 
particular	cụ thể 
particularly	đặc biệt 
partner	đối tác 
part	phần 
party	buổi tiệc 
passage	đoạn văn 
passenger	hành khách 
passion	đam mê 
past	quá khứ 
path	con đường 
patient	bệnh nhân 
pattern	mẫu 
peace	hòa bình 
pen	cây bút 
perfect	hoàn hảo 
perfectly	hoàn hảo 
perhaps	có lẽ 
period	giai đoạn 
permission	sự cho phép 
per	mỗi 
personal	cá nhân 
person	người 
phone	điện thoại 
photograph	chụp hình 
phrase	cụm từ 
physical	thể chất 
picture	hình ảnh 
piece	cái 
pile	cọc 
pillow	cái gối 
pink	ngón tay út 
pipe	ống 
pistol	súng 
pity	thương hại 
place	địa điểm 
plain	đồng bằng 
plane	máy bay 
plan	kế hoạch 
plant	nhà máy 
plate	tấm 
pleasant	dễ chịu 
pleasure	vui lòng 
plenty	nhiều 
plot	âm mưu 
pocket	túi 
poem	bài thơ 
poetry	thơ phú 
poet	thi sĩ 
point	điểm 
police	cảnh sát 
political	chính trị 
pool	hồ bơi 
poor	nghèo nàn 
popular	phổ biến 
porch	cổng 
position	Chức vụ 
possession	sở hữu 
possibility	khả năng 
possible	khả thi 
possibly	có thể 
post	bài 
pot	nồi 
pound	pao 
powerful	mạnh mẽ 
power	quyền lực 
practice	thực hành 
praise	lời khen ngợi 
prayer	cầu nguyện 
precious	quí 
presence	sự hiện diện 
present	hiện tại 
pressure	áp lực 
pretty	đẹp 
previous	trước 
price	giá 
pride	niềm tự hào 
priest	linh mục 
prince	hoàng tử 
principle	nguyên tắc 
prisoner	tù nhân 
prison	nhà tù 
private	riêng tư 
probably	có lẽ 
problem	vấn đề 
process	quá trình 
professional	chuyên nghiệp 
progress	tiến bộ 
project	dự án 
proof	bằng chứng 
proper	sạch sẽ 
property	tài sản 
proud	tự hào 
public	công cộng 
pure	tinh khiết 
purpose	mục đích 
purse	túi 
quality	chất lượng 
quarter	quý 
queen	nữ hoàng 
question	câu hỏi 
quickly	Mau 
quick	nhanh chóng 
quietly	lặng lẽ 
quiet	Yên tĩnh 
quite	khá 
race	cuộc đua 
rage	cơn sốt 
rain	mưa 
range	phạm vi 
rank	đẳng cấp 
rapidly	nhanh chóng 
rare	đẹp 
rate	tỷ lệ 
rather	hơn 
reaction	sự phản ứng 
ready	sẳn sàng 
reality	thực tế 
really	có thật không 
real	thực 
rear	phía sau 
reason	lý do 
recently	mới đây 
recent	senaste 
record	ghi lại 
red	màu đỏ 
reflection	sự phản xạ 
regular	đều đặn 
relation	quan hệ 
relationship	mối quan hệ 
relative	họ hàng 
relief	cứu trợ 
religion	tôn giáo 
religious	tôn giáo 
report	bài báo cáo 
request	yêu cầu 
respect	sự tôn trọng 
response	đáp ứng 
responsibility	trách nhiệm 
responsible	ansvarlig 
restaurant	nhà hàng 
rest	nghỉ ngơi 
result	kết quả 
rich	giàu có 
rifle	súng trường 
right	đúng 
ring	nhẫn 
risk	rủi ro 
river	con sông 
road	đường 
rock	đá 
role	Rolle 
Roman	tiểu thuyết 
Rome	Roma 
roof	cướp 
room	phòng 
root	nguồn gốc 
rope	dây thừng 
rough	thô 
round	tròn 
row	hàng 
rule	quy tắc 
Russian	Tiếng nga 
sacrifice	hy sinh 
sad	buồn 
saddle	yên xe 
safe	an toàn 
safety	sự an toàn 
sake	vì lợi ích 
same	tương tự 
sand	cát 
satisfaction	sự hài lòng 
Saturday	thứ bảy 
scarcely	hiếm 
scene	bối cảnh 
scent	hương thơm 
school	trường học 
science	khoa học 
screen	màn hình 
sea	biển 
season	mùa 
seated	ngồi 
seat	ghế 
second	thứ hai 
secret	bí mật 
section	tiết diện 
security	an ninh 
sense	giác quan 
sentence	câu 
series	loạt 
seriously	nghiêm túc 
serious	nghiêm trọng 
servant	người hầu 
service	dịch vụ 
seven	bảy 
several	một số 
sex	tình dục 
sexual	tình dục 
shade	bóng râm 
shadow	bóng 
shame	xấu hổ 
shape	hình dạng 
sharp	nhọn 
she	bà ấy 
sheet	tờ 
shell	vỏ trứng 
shelter	che chở 
ship	tàu 
shirt	áo sơ mi 
shit	đi tiêu 
shock	sốc 
shoe	giày 
shop	cửa tiệm 
shore	bờ 
short	ngắn 
shot	bắn 
shoulder	vai 
should	Nên 
shower	vòi hoa sen 
sick	đau ốm 
side	bên 
sight	thị giác 
signal	tín hiệu 
sign	ký tên 
silence	khoảng lặng 
silent	im lặng 
silently	âm thầm 
silk	lụa 
silly	điên 
silver	bạc 
similar	tương tự 
simple	đơn giản 
simply	đơn giản 
since	kể từ khi 
sin	của nó 
single	Độc thân 
sir	quý ngài 
sister	em gái 
situation	tình hình 
six	sáu 
size	kích thước 
skill	kỹ năng 
skin	da 
skirt	váy 
sky	bầu trời 
slave	nô lệ 
slightly	khinh bỉ 
slight	nhẹ 
slope	dốc 
slow	chậm 
slowly	chậm rãi 
small	nhỏ bé 
smart	thông minh 
smoke	hút thuốc lá 
smooth	mịn 
snow	tuyết 
social	xã hội 
society	xã hội 
sofa	giường 
softly	nhẹ nhàng 
soft	mềm mại 
soldier	lính 
solid	chắc 
somebody	ai đó 
somehow	bằng cách nào đó 
some	một số 
someone	người nào 
something	một cái gì đó 
sometimes	đôi khi 
somewhat	phần nào 
somewhere	một vài nơi 
son	Con trai 
song	bài hát 
soon	Sớm 
sorrow	nỗi buồn 
sorry	lấy làm tiếc 
sort	sắp xếp 
soul	Linh hồn 
sound	âm thanh 
source	nguồn 
south	phía nam 
so	vì thế 
space	không gian 
Spanish	Tây Ban Nha 
special	đặc biệt 
speech	bài phát biểu 
speed	tốc độ 
spell	đánh vần 
spirit	tinh thần 
spite	mặc dù 
spot	nơi 
spring	mùa xuân 
square	hình vuông 
staff	nhân viên 
stage	thực tập 
stair	cầu thang 
standard	tiêu chuẩn 
star	ngôi sao 
statement	tuyên bố 
state	tiểu bang 
station	ga tàu 
steady	vững chắc 
steel	thép 
step	bậc thang 
still	vẫn 
stock	chứng khoán 
stomach	dạ dày 
stone	cục đá 
store	cửa hàng 
storm	bão 
story	câu chuyện 
straight	thẳng 
strange	lạ 
stranger	người lạ 
stream	dòng 
street	đường phố 
strength	sức mạnh 
string	chuỗi 
stroke	đột quỵ 
strong	mạnh 
structure	cấu trúc 
student	sinh viên 
stuff	đồ đạc 
stupid	ngu ngốc 
style	phong cách 
subject	môn học 
successful	thành công 
success	thành công 
such	như là 
sudden	đột nhiên 
suddenly	đột ngột 
suit	bộ đồ 
summer	mùa hè 
Sunday	Chủ nhật 
sun	mặt trời 
supper	súp 
supply	cung cấp 
sure	chắc chắn rồi 
surely	chắc chắn 
surface	bề mặt 
suspicion	sự nghi ngờ 
sweat	mồ hôi 
sweet	ngọt 
sword	thanh kiếm 
sympathy	thông cảm 
system	hệ thống 
table	bàn 
tail	đuôi 
tale	câu chuyện 
tall	cao 
tape	băng 
task	nhiệm vụ 
taste	nếm thử 
teacher	giáo viên 
team	đội 
tear	nước mắt 
tea	trà 
telephone	điện thoại 
television	tivi 
temple	đền 
ten	mười 
tent	lều 
term	kỳ hạn 
terrible	kinh khủng 
terror	khủng bố 
test	kiểm tra 
text	bản văn 
than	hơn 
that	cái đó 
the	các 
thee	trà 
their	của chúng 
them	họ 
themselves	chính họ 
then	sau đó 
theory	lý thuyết 
therefore	vì thế 
there	ở đó 
these	những 
they	họ 
thick	dày 
thigh	bắp vế 
thin	gầy 
thing	Điều 
third	thứ ba 
thirty	ba mươi 
this	điều này 
those	những, cái đó 
thought	nghĩ 
though	Tuy nhiên 
thousand	ngàn 
threat	mối đe dọa 
three	số ba 
throat	họng 
throughout	khắp nơi 
through	xuyên qua 
thus	do đó 
thy	bạn 
tight	chặt chẽ 
till	cho đến 
time	thời gian 
tiny	nhỏ xíu 
tip	tiền boa 
to abandon	từ bỏ 
to accept	chấp nhận 
to accompany	đi cùng 
to accord	để phù hợp 
to accuse	buộc tội 
to ache	đau 
to acknowledge	thừa nhận 
to act	hành động 
to address	Đến địa chỉ 
to add	thêm 
to admire	chiêm ngưỡng 
to admit	thừa nhận 
to advance	để tiến lên 
to affect	ảnh hưởng 
to afford	đủ khả năng 
to agree	đồng ý 
to aim	nhằm mục đích 
to allow	cho phép 
to announce	thông báo 
to answer	để trả lời 
to appeal	để kháng cáo 
to appear	xuất hiện 
to apply	để áp dụng 
to appreciate	đánh giá cao 
to approach	để tiếp cận 
to argue	tranh luận 
to arise	phát sinh 
to arrange	sắp xếp 
to arrest	phán xét 
to arrive	đến 
to ask	hỏi 
to associate	liên kết 
to assume	giả định 
to assure	để đảm bảo 
to attach	đính kèm 
to attend	tham dự 
to attract	để thu hút 
to avoid	tránh 
to bear	chịu đựng 
to beat	để đánh bại 
to become	để trở thành 
to be	được 
to beg	cầu xin 
to begin	để bắt đầu 
to believe	tin tưởng 
to belong	thuộc về 
to bend	uốn cong 
to bet	đặt cược 
to betray	phản bội 
to bid	cầu nguyện 
to bite	cắn 
to blame	đổ lỗi 
to blink	tỏa sáng 
to blow	thổi 
to bore	khoan 
to bother	làm phiền 
to bow	cúi đầu 
to break	phá vỡ 
to breathe	thở 
to bring	mang lại 
to brush	đánh răng 
to build	xây dựng 
to burn	đốt cháy 
to burst	nổ tung 
to bury	chôn cất 
to buy	mua 
to call	để gọi 
to can	để có thể 
to capture	để nắm bắt 
to care	để chăm sóc 
to carry	để thực hiện 
to cast	để đúc 
to catch	để bắt 
to cause	gây ra 
to cease	chấm dứt 
to change	thay đổi 
to chase	đuổi theo 
to check	để kiểm tra 
to choose	chọn 
to chuckle	cười thầm 
to claim	để yêu cầu 
to climb	leo 
to cling	bám 
to close	đóng 
to clutch	để ly hợp 
to collect	để thu thập 
to come	đến 
to commit	cam kết 
to compare	để so sánh 
to complain	phàn nàn 
to conceal	để che giấu 
to concern	quan tâm 
to conclude	để kết luận 
to conduct	tiến hành 
to confess	thú nhận 
to confirm	để xác nhận 
to confuse	nhầm lẫn 
to connect	để kết nối 
to consider	cân nhắc 
to contain	để chứa 
to continue	tiếp tục 
to convince	để thuyết phục 
to cook	nấu ăn 
to count	để đếm 
to cover	để che 
to crack	để nứt 
to crash	sụp đổ 
to crawl	bò 
to create	để tạo ra 
to creep	để leo 
to cross	băng qua 
