store, shop	가게
free	공짜
notebook, note	공책
airport	공항
public holiday	공휴일
division	과
past	과거
fruit	과일
snack	과자
science	과학
relation	관계
travel, sightsee	관광하다
attention, interest	관심
advertisement	광고
be okay	괜찮다
It's fine.	괜찮습니다
textbook	교과서
professor	교수
classroom	교실
substitute, change	교체
traffic	교통
traffic accident	교통사고
church	교회
9	구
take a look	구경하다
shoes	구두
cloud	구름
90	구십
September	구월
save, seek, get	구하다
soup	국
domestic	국내
nationalestablished, state	국립
noodle	국수
Korean language	국어
nationality, country of citizenship	국적
international	국제
soldier, military personnel	군인
bake	굽다
~ book(s)	권
ear	귀
cute	귀엽다
rule	규칙
mandarin orange	귤
it	그
it	그거
it	그것
there	그곳
that day	그날
just, as it is	그냥
meantime, meanwhile, up to now	그동안
them, they	그들
then, at that time	그때
Yes, Yeah	그래
so, thus	그래서
gram	그램
but, however	그러나
so, because	그러니까
then, if so	그러면
then, such	그런
by the way, however	그런데
then	그럼
like that, so	그렇게
well, I see.	그렇구나
Yes, that's it.	그렇다
That's right.	그렇습니다
nevertheless, but	그렇지만
bowl, container, tableware	그릇
and	그리고
draw	그리다
drawing, picture	그림
stop, finish	그만
his, the person	그분
day before yesterday	그저께
among them	그중
there, the person	그쪽
stop, end, cease	그치다
theater, cinema	극장
nearby, neighborhood	근처
post, sentence, character	글
I do not know., well, I guess ~	글쎄요
soon, a little while ago	금방
no smoking	금연
Friday	금요일
abstinence, temperance	금주
class, grade	급
hurry, urgent	급하다
term, period	기간
wait	기다리다
cultivate, grow	기르다
oil, gasoline	기름
feeling	기분
glad, delight	기뻐하다
happy	기쁘다
article, driver, engineer	기사
dormitory	기숙사
remember	기억하다
temperature	기온
reporter	기자
train	기차
cough	기침
other	기타
be nervous	긴장되다
way, road	길
long	길다
seaweed	김
Kimbab	김밥
Kimchi	김치
Kimchi stew	김치찌개
Gimpo International Airport	김포공항
black color	까만색
black	까맣다
cut, shave	깎다
startled, surprised	깜짝
clean	깨끗하다
wake up, crack, break	깨다
chip, crack, break	깨지다
take out	꺼내다
chewing gum	껌
exactly, absolutely	꼭
flower	꽃
florist	꽃집
dream	꾸다
dream	꿈
turn off, extinguish, stop	끄다
boil	끓이다
end	끝
finish, end	끝나다
finish	끝내다
put on, plug, (fog) rolls in	끼다
I	나
go out, get out	나가다
share, divide	나누다
occur, come out	나다
country	나라
tree	나무
spoil, deteriorate	나빠지다
bad	나쁘다
come out, appear	나오다
age, old	나이
later, after	나중
appear	나타나다
four days	나흘
fishing	낚시
day	날
weather	날씨
date	날짜
south, man	남
leave	남기다
men and women	남녀
Namdaemun market	남대문시장
younger brother	남동생
South America	남미
north and south	남북
man	남자
south	남쪽
husband	남편
male student	남학생
day, noon, during the day	낮
low	낮다
of mine, my	내
I	내가
internal medicine	내과
next year	내년
pay, put out	내다
go down	내려가다
come down	내려오다
go down	내리다
content	내용
tomorrow	내일
pot	냄비
smell	냄새
cold noodle	냉면
refrigerator	냉장고
you	너
too, very	너무
wide	넓다
exceed, more than	넘다
fall down, fall	넘어지다
put in	넣다
yes, 4	네
necktie	넥타이
4	넷
fourth	넷째
year	년
yellow color	노란색
yellow	노랗다
song	노래
Karaoke shop	노래방
sing	노래하다
endeavor, strive	노력하다
note	노트
green	녹색
green tea	녹차
play	놀다
be surprised	놀라다
basketball	농구
high	높다
put	놓다
who	누가
who	누구
sister (as seen from the younger brother)	누나
press down, push	누르다
eye, snow	눈
tear	눈물
snowman	눈사람
staring contest, snowball fight	눈싸움
lie down, sleep	눕다
news	뉴스
New York	뉴욕
feel	느끼다
feeling	느낌
slow	느리다
always	늘
gain, increase	늘다
ability	능력
late, delay	늦다
overslept, sleeping in late	늦잠
Sir	님
all, whole	다
return, come back	다녀오다
go, commute	다니다
different	다르다
other ~, another ~, different ~	다른
bridge, leg, foot	다리
5	다섯
again	다시
next, after	다음
next month	다음달
next week	다음주
next year, following year	다음해
diet	다이어트
hurt	다치다
wipe, polish	닦다
word	단어
disadvantage, shortcoming, drawback	단점
close	닫다
shut, close	닫히다
month, moon	달
egg	달걀
sweet	달다
dollar	달러
calendar	달력
run	달리다
chicken, hen	닭
chicken	닭고기
resemble	닮다
dip, pickle	담그다
tobacco	담배
reply	답장
carrot	당근
you	당신
versus, large	대
answer	대답
answer, reply	대답하다
mostly, almost	대부분
embassy	대사관
university, college	대학
university, college	대학교
college student	대학생
graduate school	대학원
postgraduate student, graduate student	대학원생
Republic of Korea, South Korea	대한민국
conversation, dialogue	대화
competition, tournament	대회
house	댁
more	더
dirty	더럽다
hot water	더운물
thanks for, thanks to	덕분
hot	덥다
cover	덮다
bring, take along	데리다
date, dating	데이트
road	도로
library	도서관
city	도시
help	도와주다
help, assistance	도움
arrival	도착
arrive	도착하다
Tokyo	도쿄
reading	독서
reading room	독서실
read	독서하다
Germany	독일
money	돈
return, go back	돌아가다
come back, come home	돌아오다
help	돕다
town, neighborhood	동네
Dongdaemun market	동대문시장
animal	동물
brother, sister	동생
club, group	동아리
during, between	동안
eastern, orient	동양
coin	동전
east	동쪽
pig	돼지
pork	돼지고기
become	되다
fermented soybean paste	된장
soybean paste soup	된장국
soybean paste stew	된장찌개
two	두
thick	두껍다
put	두다
tofu	두부
tofu soup	두부찌개
2	둘
second, the second of~	둘째
rear, back	뒤
behind, back, towards the rear	뒤쪽
drama	드라마
give	드리다
eat (honorific form)	드시다
listening, hearing	듣기
listen	듣다
field, ~s,	들
hold, enter	들다
go in, enter	들어가다
come in, enter	들어오다
etc, back	등
hiking, mountain-climbing	등산
mountaineering clothing	등산복
hiking boots, climbing shoes	등산화
DVD	디브이디
design	디자인
warm	따뜻하다
follow	따라가다
come with, follow	따라오다
separately	따로
follow	따르다
daughter	딸
strawberry	딸기
sweat	땀
time	때
because, for ~, so~	때문
leave	떠나다
chatter, make a noise	떠들다
rice cake	떡
rice cake soup	떡국
Toppogi	떡볶이
drop	떨어지다
in addition, again	또
or	또는
same	똑같다
upright, straight	똑바로
run	뛰다
hot	뜨겁다
rise, open (the eyes)	뜨다
meaning	뜻
radio	라디오
ramen	라면
Russia	러시아
skin lotion	로션
garlic	마늘
dry	마르다
~ animal(s), ~ head(s)	마리
drink	마시다
mind, feeling	마음
last	마지막
finish, end	마치다
40	마흔
be blocked, be clogged	막히다
only, ten thousand	만
meet	만나다
dumpling	만두
make, create	만들다
if, should	만일
touch	만지다
comic book, cartoon	만화
many	많다
a lot of, many	많이
word, talk	말
words, remarks	말씀
talk	말씀하다
speaking	말하기
say, talk	말하다
clear, clean	맑다
flavor, taste	맛
not delicious	맛없다
delicious	맛있다
right, fit, correct	맞다
That's right.	맞습니다
That's right.	맞아요
across, the other side, opposite	맞은편
tie	매다
extremely, very	매우
everyday	매일
every week	매주
beer	맥주
spicy	맵다
head, hair	머리
eat	먹다
first, first of all, before	먼저
far, distant, long	멀다
cool, nice	멋있다
menu	메뉴
shoulder, carry	메다
memo	메모
message	메시지
Mexico	멕시코
a few days, what date	며칠
razor, shaving	면도
~ person(s)	명
holidays, annual events	명절
a few, a number of	몇
all, everyone	모두
the day after tomorrow	모레
I don't know.	모르겠습니다
do not know	모르다
take you, serve you (honorific form)	모시다
shape, form, style	모양
collect, gather	모으다
gather, get together	모이다
meeting, gathering	모임
hat	모자
neck, throat	목
necklace	목걸이
voice	목소리
Thursday	목요일
bath, bathing	목욕
take a bath	목욕하다
purpose	목적
body	몸
sickness, disease that comes from fatigue	몸살
~ can not do	못하다
Mongolia	몽골
radish	무
heavy	무겁다
rose of sharon	무궁화
free	무료
knee	무릎
swarm, unreasonable	무리
scary	무섭다
what	무슨
what	무엇
what	무엇이
trade	무역
dance	무용
very	무척
door, gate	문
stationery store	문구점
sentence	문장
problem	문제
culture	문화
ask	묻다
water	물
stuff, thing	물건
sure, of course	물론
ask	물어보다
what	뭐
The United States	미국
future	미래
in advance, beforehand	미리
art	미술
art gallery, art museum	미술관
sorry	미안하다
I'm sorry.	미안합니다
beauty salon	미용실
meter	미터
folk village	민속촌
flour	밀가루
be shaved, be pushed	밀리다
bottom, below	밑
change	바꾸다
be changed	바뀌다
banana	바나나
sea	바다
beach	바닷가
hope	바라다
wind	바람
immediately, soon, just	바로
right, paint, wear	바르다
busy	바쁘다
violin	바이올린
pants	바지
museum	박물관
clap, applause	박수
out, outside	밖
half, group	반
nice to meet, happy	반갑다
Nice to meet you.	반갑습니다
half a year	반년
half-moon	반달
shorts	반바지
ring	반지
side dish	반찬
receive	받다
foot, leg	발
toe(s)	발가락
pronunciation	발음
development	발전
announcement, presentation	발표
bright	밝다
night	밤
rice, meal	밥
room	방
way, method	방법
broadcast	방송
broadcast stations	방송국
vacation	방학
ship, stomach, pear	배
hungry	배고프다
volleyball	배구
delivery	배달
be full (I am full.)	배부르다
actor	배우
learn	배우다
stomachache	배탈
100	백
department store	백화점
abandon, throw away	버리다
bus	버스
~ time(s)	번
number	번호
earn, make money	벌다
already	벌써
take off (clothes, shoes)	벗다
cherry blossom	벚꽃
Beijing	베이징
Vietnam	베트남
wall	벽
lawyer	변호사
star	별
not really	별로
illness, ~ bottle(s)	병
hospital	병원
send, spend	보내다
see	보다
sidewalk, report	보도
show, look	보이다
usually, normally, in general	보통
peach	복숭아
complicated, crowded	복잡하다
fry	볶다
fried rice	볶음밥
ballpoint pen	볼펜
spring	봄
bag	봉지
envelope	봉투
meet	뵙다
real estate	부동산
soft, friendly	부드럽다
call, sing	부르다
parents	부모
couple, husband and wife, married couple	부부
Busan	부산
sideline	부업
kitchen	부엌
wife, Mrs.	부인
director	부장
diligent	부지런하다
send, fry, transmit	부치다
request, please	부탁
beg, ask	부탁하다
North	북쪽
~ person(s), ~ minute(s)	분
atmosphere	분위기
fire, electrical light	불
Bulgogi, grilled meat	불고기
blow (wind or whistle, musical instruments, etc.)	불다
uncomfortable, inconvenient	불편하다
pour	붓다
stick, pass a test	붙다
attach, stick	붙이다
Brazil	브라질
blouse	블라우스
rain	비
soap	비누
video	비디오
secret	비밀
Bibimbap, mixed rice	비빔밥
similar, like	비슷하다
expensive	비싸다
airplane	비행기
airfield, airport	비행장
building	빌딩
borrow, lend	빌리다
fast	빠르다
red color	빨간색
red	빨갛다
suck, do laundry	빨다
laundry, wash	빨래
quickly	빨리
bread	빵
bakery	빵집
remove, pull, pull out	빼다
only	뿐
4	사
intersection, four corners	사거리
four seasons	사계절
accident	사고
apple	사과
buy	사다
person, man	사람
love	사랑
love	사랑하다
case, example	사례
office	사무실
object, thing	사물
40	사십
entrepreneur, businessman	사업가
use	사용하다
temple, employee	사원
April	사월
between, while	사이
cider	사이다
size	사이즈
sign	사인하다
CEO, the president	사장
dictionary	사전
picture, photo	사진
camera	사진기
cousin	사촌
candy	사탕
3 days	사흘
mountain	산
walk	산책
flesh, ~ year(s) old	살
live	살다
3	삼
intersection, three-way intersection	삼거리
Samgyetang	삼계탕
30	삼십
March	삼월
paternal uncle	삼촌
relation	상관
box	상자
wound, scratch	상처
product	상품
bird, new	새
newly	새로
dawn, late at night, early morning	새벽
shrimp	새우
color	색
color	색깔
sandwich	샌드위치
thinking, thought	생각
be considered, it seems~	생각되다
think	생각하다
form, arise	생기다
fish	생선
birthday (honorific form)	생신
birthday	생일
life	생활
take a shower	샤워하다
shampoo	샴푸
stand	서다
each other, both	서로
document	서류
30	서른
service	서비스
western, west	서양
Seoul	서울
Seoul station	서울역
bookstore	서점
west, western	서쪽
gift, present	선물
elder, senior	선배
teacher	선생님
player	선수
choose, select	선택하다
fan	선풍기
washing dishes, dish-washing	설거지
Lunar New Year	설날
Seolleongtang	설렁탕
explanation, description	설명
explain	설명하다
Mt. Seorak	설악산
sugar	설탕
island	섬
castle, last name	성
personality	성격
name	성함
world	세계
wash	세수하다
set up, formulate	세우다
have a sale	세일하다
washing machine	세탁기
dry cleaners, laundromat	세탁소
center	센터
centimeter	센티미터
3	셋
third	셋째
small, cow	소
introduction	소개
introduce	소개하다
beef	소고기
salt	소금
sound, voice	소리
novel	소설
novelist	소설가
news	소식
sofa	소파
parcel	소포
picnic, trip	소풍
peptic, digestive	소화제
inside	속
hand	손
finger	손가락
customer	손님
handkerchief	손수건
bunch, flower, cluster	송이
shopping	쇼핑
towel, washcloth	수건
capital, water supply	수도
tap water	수돗물
watermelon	수박
operate on for	수술하다
class, lesson	수업
swimming	수영
swimsuit	수영복
swimming pool	수영장
Wednesday	수요일
chopsticks and a spoon	수저
note, notebook	수첩
mathematics	수학
homework	숙제
order, turn	순서
spoon	숟가락
alcohol, liquor	술
rest	쉬다
50	쉰
easy	쉽다
supermarket	슈퍼마켓
20	스물
sweater	스웨터
skate	스케이트
ski, skiing	스키
ski resort	스키장
star	스타
stockings	스타킹
stress	스트레스
Spanish	스페인어
sport	스포츠
sorrow, mourn	슬퍼하다
sad	슬프다
habit	습관
city, time	시
time	시간
schedule, timetable	시간표
clock	시계
countryside	시골
noisy	시끄럽다
downtown, city, stream	시내
sour	시다
CD	시디
citizen	시민
facility	시설
suburbs	시외
cool, refresh	시원하다
October	시월
start	시작
begin	시작되다
start, begin	시작하다
market	시장
city hall	시청
make someone do, order	시키다
exam, test	시험
restaurant, cafeteria	식당
meal	식사
table	식탁
god, new	신
put on, wear	신다
newspaper	신문
shoes, footwear	신발
application forms	신청서
put in for, apply for	신청하다
excuse	실례
be excused	실례하다
mistake, failure	실수
hate	싫다
dislike, hate	싫어하다
severe, terrible	심하다
10	십
December	십이월
November	십일월
not salty	싱겁다
want	싶다
cheap, wrap	싸다
fight	싸우다
rice	쌀
cooked rice	쌀밥
stack up, pile up	쌓이다
chop, cut	썰다
writing, dictation	쓰기
write, use, wear (glasses)	쓰다
garbage	쓰레기
be written, be used	쓰이다
seed, Mr. ~	씨
each, every, per	씩
chew, bite	씹다
wash	씻다
Miss, daughter	아가씨
baby, toddler	아기
earlier, while ago	아까
wife	아내
no	아뇨
no	아니다
no	아니오
no	아니요
son	아들
Arabic	아랍어
bottom, under	아래
beautiful	아름답다
maybe, perhaps	아마
any	아무
father	아버님
father	아버지
dad	아빠
Asia	아시아
child	아이
ice cream	아이스크림
uncle, mister	아저씨
very, completely	아주
old lady, madame, aunt	아주머니
old lady, madame, aunt	아줌마
yet, still	아직
morning, breakfast	아침
breakfast	아침밥
breakfast	아침식사
apartment, mansion	아파트
painful, sick	아프다
Africa	아프리카
9	아홉
90	아흔
musical instrument	악기
within, not ~	안
glasses	안경
guide, invite	안내하다
hi, hello	안녕하세요
hello	안녕하십니까
embrace, cradle	안다
safe	안전하다
sit	앉다
know	알다
inform	알리다
fit, appropriate	알맞다
I understood.	알았습니다
front, previous	앞
child	애
accessory	액세서리
baseball	야구
vegetable	야채
about, medicine	약
slightly, a little	약간
pharmacy	약국
pharmacist	약사
appointment, promise	약속
thin	얇다
amount, sheep	양
socks	양말
suit	양복
form, western style	양식
onion	양파
talk	얘기하다
shoulder	어깨
which, how	어느
dark	어둡다
where	어디
which, what	어떤
how	어떻게
how	어떻다
How is it?	어떻습니까?
difficult	어렵다
adult	어른
young	어리다
child	어린이
oh, well	어머
mother	어머니
mother	어머님
hurry, quickly	어서
look good on, befit	어울리다
yesterday	어저께
yesterday	어제
last night	어젯밤
sister (as seen from the younger sister)	언니
when	언제
always, anytime	언제나
face	얼굴
how much	얼마나
ice	얼음
mom	엄마
none, no, not	없다
without	없이
air conditioner	에어컨
yen	엔
elevator	엘리베이터
passport	여권
here	여기
here and there	여기저기
8	여덟
younger sister	여동생
80	여든
various, many	여러
several, various	여러가지
everyone, ladies and gentlemen	여러분
summer	여름
hello	여보세요
6	여섯
woman	여자
female student	여학생
travel	여행
travel agency, travel firm	여행사
station	역
history	역사
contact information	연락처
age (honorific form)	연세
practice	연습
practice	연습하다
celebrity	연예인
pencil	연필
consecutive holidays	연휴
10	열
open	열다
be opened	열리다
key	열쇠
hard, enthusiastic	열심히
train	열차
postcard	엽서
spirit, zero	영
The United Kingdom	영국
video	영상
English	영어
English conversation	영어회화
minus, below zero	영하
movie	영화
movie theater	영화관
movie star	영화배우
movie ticket	영화표
side	옆
yes	예
example, model sentence	예문
pretty, beautiful	예쁘다
60	예순
reservation	예약
a long ago, olden days	옛날
5	오
today	오늘
come	오다
long, much	오래
after a long time	오래간만
Long time no see.	오래간만입니다
after a long time	오랜만
after a long time	오랜만에
for a long time	오랫동안
orange	오렌지
climb	오르다
right side, right	오른쪽
duck	오리
brother (as seen from the younger sister)	오빠
50	오십
May	오월
cucumber	오이
morning, a.m.	오전
squid	오징어
afternoon	오후
go up	올라가다
come up	올라오다
put on, place	올려놓다
olympic	올림픽
this year	올해
move, transfer, translate	옮기다
dress, clothes	옷
clothing store	옷가게
closet	옷장
shirt	와이셔츠
why	왜
because	왜냐하면
foreign country	외국
foreign language	외국어
foreigner	외국인
lonely	외롭다
maternal uncle	외삼촌
maternal aunt	외숙모
go out	외출하다
maternal grandmother	외할머니
maternal grandfather	외할아버지
left	왼쪽
fee	요금
Jordan	요르단
cooking, cuisine	요리
day of the week	요일
nowadays, around this time, lately	요즘
we, us	우리
our country, South Korea	우리나라
umbrella	우산
first	우선
milk	우유
post office	우체국
stamp	우표
exercise	운동
sportswear, gym clothes	운동복
athlete	운동선수
playground, athletic field	운동장
exercise	운동하다
sports shoes	운동화
drive	운전하다
cry	울다
make cry, chime	울리다
move	움직이다
funny, make someone laugh	웃기다
laugh	웃다
won (currency units of Korea)	원
one-piece dress	원피스
want, wish, desire	원하다
month	월
monthly salary	월급
world cup	월드컵
monthly rent	월세
Monday	월요일
for some reason, What was it?	웬일
top, up	위
location, position	위치
for, in favor of, for the sake of	위하다
dangerous	위험하다
Europe	유럽
glass	유리
famous	유명하다
June	유월
study abroad	유학
foreign student, international student	유학생
trend	유행
6	육
60	육십
bank	은행
bank clerk	은행원
drink, soft drink	음료수
record	음반
food, cooking	음식
music	음악
musician	음악가
Yeah (answer)	응
meaning	의미
doctor	의사
chair	의자
this, tooth, 2	이
this	이거
this	이것
this place, here	이곳
later	이따가
this, such ~	이런
like this, so, in this way	이렇게
like this	이렇다
name	이름
e-mail	이메일
maternal aunt	이모
maternal uncle	이모부
this time	이번
this person	이분
move, moving	이사
more than, strange	이상
strange, funny, weird	이상하다
20	이십
story	이야기
talk	이야기하다
usage	이용
use	이용하다
February	이월
reason	이유
now	이제
Egypt	이집트
this way, here, this person	이쪽
two days	이틀
understanding	이해
understand	이해하다
sign, ~ person(s)	인
population	인구
popularity	인기
popular star	인기스타
India	인도
greetings	인사
greet	인사하다
ginseng	인삼
impression	인상
Incheon	인천
internet	인터넷
interview	인터뷰하다
doll	인형
work, 1, day	일
7	일곱
diary	일기
weather forecast	일기예보
Japan	일본
Japanese drama	일본드라마
Japanese language	일본말
Japanese people	일본사람
Japanese language	일본어
Japanese food	일본요리
everyday life	일상생활
Japanese style, Japanese food	일식
rise, stand, occur	일어나다
get up, stand up	일어서다
Sunday	일요일
January	일월
one week	일주일
early	일찍
work	일하다
70	일흔
reading	읽기
read	읽다
lose	잃다
lose	잃어버리다
mouth	입
entrance	입구
put on, wear	입다
hospitalize	입원하다
admission	입학
have, there	있다
forget	잊다
forget	잊어버리다
character, Here we go.	자
myself, own	자기
sleep	자다
car, automobile	자동차
car company	자동차회사
material, document	자료
cut	자르다
seat, location	자리
myself, own	자신
nature	자연
freedom	자유
Jajangmyeon	자장면
bicycle	자전거
often	자주
last year	작년
small	작다
uncle	작은아버지
aunt	작은어머니
glass, ~ cup(s)	잔
party, feast	잔치
well	잘
mistake	잘못
handsome	잘생기다
do well, good at	잘하다
slumbers, sleep	잠
for a while, a little	잠깐
for a bit, for a while, a little	잠시
sleep, go to bed	잠자다
catch, grab, hold	잡다
eat (honorific form)	잡수시다
magazine	잡지
~ chapter(s), ~ sheet(s)	장
gloves	장갑
rainy season	장마
rainy season	장마철
rose	장미
place	장소
advantage	장점
material	재료
not funny, uninteresting	재미없다
interesting	재미있다
jacket	재킷
that	저
that	저거
that	저것
over there	저곳
there, over there	저기
dinner, evening, night	저녁
dinner	저녁식사
like that, in that way	저렇게
that person	저분
there, over there	저쪽
we	저희
enemy	적
be few, write down	적다
all, before	전
major	전공
electric car	전기자동차
electronic dictionary	전자사전
tell	전하다
not at all	전혀
telephone	전화
telephone	전화기
phone number	전화번호
~ section(s), temple	절
never, absolutely	절대
young	젊다
point	점
score, point	점수
lunch	점심
lunchtime	점심시간
lunch	점심식사
clerk	점원
jacket	점퍼
chopsticks	젓가락
station, depot	정거장
degree	정도
station, bus stop	정류장
straighten out, organize	정리하다
really, truly	정말
front door, main gate	정문
information	정보
choose, establish	정하다
I	제가
title	제목
most	제일
Jeju Island	제주도
a little	조금
investigate	조사하다
shipbuilding, Korea	조선
Korean language	조선말
Korean language	조선어
be careful, warn	조심하다
silent, quiet	조용하다
quietly	조용히
nephew	조카
graduation	졸업
graduate	졸업하다
a little	좀
a little more	좀더
narrow	좁다
Jong-ro	종로
kind, type	종류
employee	종업원
paper	종이
all day	종일
good	좋다
like	좋아하다
sorry	죄송하다
week	주
give	주다
mainly	주로
weekend	주말
pocket, pouch	주머니
sleep, rest	주무시다
order	주문하다
around	주변
housewife	주부
injection	주사
address	주소
juice	주스
around	주위
owner	주인
parking lot	주차장
park	주차하다
orange color	주황색
bamboo, porridge	죽
die	죽다
preparation	준비
prepare	준비하다
line, column, string	줄
shrink, decrease	줄다
medium, during	중
China	중국
Chinese	중국어
Chinese restaurant	중국집
Chinese cuisine	중식
center	중심
importance	중요
important	중요하다
middle school, Junior high school	중학교
middle school student	중학생
have fun	즐거워하다
fun, be pleasant	즐겁다
enjoy, have fun	즐기다
symptom, medical condition	증세
tardy, being late	지각
wallet	지갑
now	지금
pass by	지나다
last month	지난달
last time	지난번
last week	지난주
stay, spend, live	지내다
lose	지다
map	지도
fat, region	지방
eraser	지우개
protect	지키다
underground	지하
underpass	지하도
subway	지하철
subway station	지하철역
job, profession	직업
employee, staff	직원
workplace	직장
directly, direct	직접
azalea	진달래
quality	질
question	질문
ask a question	질문하다
load, baggage	짐
house, shop	집
build, create	짓다
salty, make (the plan)	짜다
a value (won coin)	짜리
short	짧다
side, page	쪽
about, around ~	쯤
stew, soup	찌개
pierce, take (a photo), press	찍다
car, tea	차
cold	차갑다
kick	차다
prepare, arrange	차리다
be good, friendly	착하다
really, very	참
window	창문
find, visit	찾다
go to visit	찾아가다
come to visit	찾아오다
vegetable	채소
book	책
bookstore	책방
desk	책상
responsibility	책임
bookshelf	책장
first, for the first time	처음
Nice to meet you.	처음 뵙겠습니다
1000	천
slowly	천천히
iron, season	철
first	첫
first	첫째
blue jeans	청바지
vacuum cleaner	청소기
sweep, clean	청소하다
~second(s)	초
invite	초대하다
elementary school	초등학교
elementary student	초등학생
green color	초록색
chocolate	초콜릿
take a picture	촬영하다
best, the highest	최고
dance	추다
Chusoku (Korean Thanksgiving Day)	추석
memory	추억
football, soccer	축구
festival	축제
celebration	축하
celebrate	축하하다
congratulations	축하합니다
exit	출구
go to work	출근하다
start, departure	출발
depart	출발하다
business trip	출장
dance	춤
dance	춤추다
cold	춥다
hobby	취미
cancel	취소하다
get a job	취직하다
layer, ~ floor	층
dentist, dentistry	치과
treat	치료하다
skirt	치마
toothpaste	치약
friend	친구
be kind	친절하다
relative	친척
close, familiar	친하다
7	칠
70	칠십
July	칠월
blackboard	칠판
bed	침대
toothbrush	칫솔
card	카드
curry	카레
camera	카메라
cafe, coffee shops	카페
knife, cutlery, swords	칼
Canada	캐나다
coffee	커피
coffee shop	커피숍
computer, PC	컴퓨터
cup	컵
cake	케이크
turn on (the light, the power, etc.)	켜다
nose	코
coat	코트
nosebleed	코피
Coke	콜라
humming	콧노래
snot, nasal discharge	콧물
bean, soy	콩
size	크기
big, large	크다
Christmas	크리스마스
uncle	큰아버지
aunt	큰어머니
key, height	키
kilogram	킬로그램
kilometer	킬로미터
ride, get on	타다
towel	타월
table tennis	탁구
Thailand	태국
Taekwondo	태권도
be born	태어나다
typhoon	태풍
taxi	택시
entertainers	탤런트
terminal	터미널
tennis	테니스
table	테이블
TV	텔레비전
tomato	토마토
Saturday	토요일
barrel, ~ package(s)	통
bank book, (deposit) passbook	통장
pass, lead	통하다
leave the office	퇴근하다
especially	특별히
characteristic, feature	특징
especially, in particular	특히
turn on (the switch)	틀다
wrong	틀리다
t-shirt	티셔츠
team	팀
wave, green onion	파
blue color	파란색
blue	파랗다
party	파티
8	팔
sell	팔다
sell, be sold	팔리다
80	팔십
August	팔월
fashion	패션
percent	퍼센트
page	페이지
pen	펜
spread, stretch	펴다
side, episode	편
letter	편지
comfortable, easy, convenient	편하다
Pyongyang	평양
weekday	평일
grape	포도
packing	포장
table, ticket	표
expression	표현
deeply	푹
pool, grass	풀
solve	풀다
France	프랑스
program	프로그램
print	프린트
blood	피
tired	피곤하다
bloom	피다
piano	피아노
smoke, bloom	피우다
pizza	피자
film	필름
necessity	필요
need	필요하다
pencil case	필통
1	하나
sky	하늘
sky blue, light blue	하늘색
do, say	하다
one day	하루
boarding house, lodging house	하숙
boarding house, lodging house	하숙집
white color	하얀색
white	하얗다
but, however	하지만
crane	학
school	학교
semester	학기
grade, school year	학년
student	학생
student ID card	학생증
academy, school	학원
one, one of the ~	한
Han River, Hangang	한강
Korea	한국
Korean drama	한국드라마
Korean language	한국말
Korean people	한국사람
Korean language	한국어
Korean cuisine	한국요리
Hangul	한글
once	한번
Hanbok, Korean traditional clothes	한복
Korean cuisine	한식
Chinese character	한자
grandmother	할머니
grandfather	할아버지
sale, discount	할인
together	함께
pass	합격
always	항상
year, sun	해
overseas	해외
overseas trip	해외여행
